customer_id,tenure_months,monthly_charges,total_charges,num_support_calls,contract_type,internet_service,payment_method,auto_pay,has_paperless_billing,is_senior_citizen,has_partner,has_dependents,churned
C100000,6,44.47,206.72,2,Two year,DSL,Mailed check,1,0,0,1,0,1
C100001,55,54.9,2819.41,1,One year,DSL,Credit card,0,1,0,0,1,1
C100002,47,83.35,4059.7,1,One year,DSL,Mailed check,1,1,1,1,0,0
C100003,31,69.4,2115.37,1,Month-to-month,Fiber optic,Bank transfer,1,1,0,0,0,1
C100004,31,58.07,1806.76,2,One year,DSL,Credit card,0,1,1,1,0,0
C100005,61,47.42,2881.06,1,Month-to-month,DSL,Credit card,1,1,0,0,0,1
C100006,6,44.67,212.37,1,Two year,None,Bank transfer,1,0,0,0,0,1
C100007,50,66.71,3223.54,2,Month-to-month,DSL,Credit card,0,0,0,0,1,0
C100008,14,120.65,1821.05,2,Two year,DSL,Mailed check,1,0,0,0,1,0
C100009,6,84.14,569.54,1,Two year,Fiber optic,Mailed check,0,1,0,0,1,0
C100010,37,36.68,1354.72,1,Month-to-month,Fiber optic,Electronic check,0,1,0,1,0,1
C100011,70,87.68,6272.01,3,Month-to-month,Fiber optic,Bank transfer,1,0,0,1,0,0
C100012,52,51.03,2647.75,0,Month-to-month,DSL,Mailed check,1,0,0,1,0,1
C100013,54,69.88,3890.59,1,Month-to-month,Fiber optic,Electronic check,0,1,0,1,1,0
C100014,51,55.28,2941.58,5,Month-to-month,Fiber optic,Credit card,0,0,1,0,1,1
C100015,56,120.57,6947.64,0,Month-to-month,Fiber optic,Mailed check,0,1,0,0,0,0
C100016,36,41.65,1524.95,1,One year,None,Electronic check,0,1,0,0,0,0
C100017,9,77.84,582.67,2,Two year,Fiber optic,Electronic check,1,1,0,1,0,1
C100018,60,52.87,3207.18,2,Two year,Fiber optic,Electronic check,0,1,0,1,0,1
C100019,32,88.47,2768.16,3,Month-to-month,DSL,Electronic check,1,1,0,1,0,0
C100020,36,77.34,2867.65,2,One year,DSL,Bank transfer,1,1,0,1,0,1
C100021,26,101.36,2881.06,1,Month-to-month,DSL,Electronic check,1,1,0,0,1,0
C100022,13,87.95,1131.49,1,One year,None,Electronic check,0,0,0,0,0,1
C100023,66,52.66,3387.22,1,Month-to-month,Fiber optic,Electronic check,1,0,1,1,0,0
